"NumYear","TotalRev","CentralTaxes","Grants","CentralTransfers","OwnRev","OwnRev_RevExp","OwnTax_OwnRev","DepRatio"
2022,23788.135,16689.1705,3843.7448,20532.9153,3255.2197,18.6891820495764,68.7311857936962,86.3157843185269
2023,27440.9993,19845.2215,3897.245,23742.4665,3698.5328,17.9851659608352,75.6411704662995,86.5218727657633
2024,33546.26,22610.55,6929,29539.55,4006.71,15.2134768369897,73.6946447334596,88.056164830297
2025,34544.0655,24992.35,4944,29936.35,4607.7155,15.3778496012788,73.6948016864322,86.6613398472163
2026,30733.46,20665,4859.6,25524.6,5208,19.2449394345349,69.7772657450077,83.0515015230957
