"FY_label","SourceDoc","CommittedExp_RevReceipt","Salary_RevReceipt","Pension_RevReceipt","Interest_RevReceipt"
"2024-25","PRS Arunachal Pradesh Budget Analysis 2026-27",34,NA,NA,NA
"2026-27","PRS Arunachal Pradesh Budget Analysis 2026-27",60,46,10,3
