"period","AR_Mean","AR_SD","India_Mean","India_SD","Premium_Mean","N"
"Covid & Post (2020+)",4.18,1.82,5.15,1.66,-0.97,23
"Pre-Covid (2012-2019)",7.1,3.65,5.87,2.61,1.22,33
