"Variable","Coefficient","HC1_SE","t_stat","p_value_norm","N","R2","Sample"
"log(GSDP)",1.693768816774,0.0324881613726408,52.1349545561038,0,34,0.987728633220277,"1990-91 to 2023-24"
"Intercept",-10.076293948155,0.284757685127846,-35.3855030940819,0,34,0.987728633220277,"1990-91 to 2023-24"
