"Scenario","DevolutionSharePct","CentralTaxDevolutionCr","RevenueReceiptsCr","RevenueBalanceCr","RevenueBalance_GSDP","OfficialFiscalDeficitCr","OfficialFiscalDeficit_GSDP","BroadFiscalDeficitCr","BroadFiscalDeficit_GSDP","RevenueLossVsNoCutCr"
"No share cut: 15th FC share retained",1.76,26941.037037037,37009.497037037,9947.83743703703,24.0786112142059,-5576.93883703703,-13.4989079659124,-1726.93883703703,-4.18003300827088,0
"Half of share-loss shock",1.555,23803.0185185185,33871.4785185185,6809.81891851852,16.4830781781443,-2438.92031851852,-5.9033749298507,1411.07968148148,3.41550002779078,3138.01851851852
"Full 16th FC share-loss shock",1.35,20665,30733.46,3671.8004,8.88754514208259,699.0982,1.69215810621097,4549.0982,11.0110330638524,6276.03703703703
"Stress: 125 percent of share-loss shock",1.2475,19095.9907407407,29164.4507407407,2102.79114074074,5.08977862405175,2268.10745925926,5.4899246242418,6118.10745925926,14.8087995818833,7845.04629629629
